#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 500, blocksize: 500, prefetchsize: 600, cache replacement policy: LRU
Month,HitRate,NumCommits
3,97.09,558
6,86.27,1026
9,84.78,1200
12,73.27,1584
15,68.75,2139
18,66.27,2680
21,62.76,3488
24,61.06,4396
27,59.33,5320
30,58.86,6014
33,58.2,6724
36,57.92,7402
39,57.15,8156
42,56.85,8769
45,56.95,9335
48,56.76,9888
51,55.85,10631
54,53.4,11555
57,50.25,12602
60,49.76,13628
63,49.85,14475
66,49.91,15541
69,49.52,16595
72,48.94,17467
75,48.75,18440
78,47.76,19744
81,47.12,20712
84,46.91,21602
87,46.66,22381
90,47.08,23413
93,46.93,24800
96,46.94,26205
99,46.98,27367
102,46.91,28457
105,46.83,29935
108,46.56,31524
111,46.67,32917
114,46.67,32922
